;Structure;Regex;Method;Example;Fact;IF Sentence then ... ;IF ... then Sentence
1;PNoun is a CNoun.;.* is(n't | n't | not | )a .*\\.$;pNounIsACNoun;Roberta is a person.;person(roberta).;... :- person(roberta).;person(roberta) :- ...
2;PNoun is not a CNoun.;.* is(n't | n't | not | )a .*\\.$;pNounIsACNoun;Roberta is not a dog.; - dog(roberta).;... :- not dog(roberta).; - dog(roberta) :- ...
3;Variable is a CNoun.;.* is(n't | n't | not | )a .*\\.$;pNounIsACNoun;X is a person.;;... :- person(X);person(X) :- ...
4;Variable is not a CNoun.;.* is(n't | n't | not | )a .*\\.$;pNounIsACNoun;X is not a dog.;;... :- not dog(X); - dog(X) :- ...
5;CNoun Variable is a CNoun.;.* [a-z] is(n't | n't | not | )a .*\\.$;cNounVariableIsACNoun;Person X is a teacher.;;... :- teacher(X), person(X).;teacher(X) :- ...
6;CNoun Variable is not a CNoun.;.* [a-z] is(n't | n't | not | )a .*\\.$;cNounVariableIsACNoun;Person X is not a headmaster.;;... :- not headmaster(X), person(X).; - headmaster(X) :- ...
7;PNoun Verb.;.* .*\\.$;pNounVerb;Roberta reads.;read(roberta).;... :- read(roberta).;read(roberta) :- ...
8;Pnoun not Verb.;.* .*\\.$;pNounVerb;Roberta does not read.; - read(roberta).;... :- not read(roberta).; - read(roberta) :- ...
9;CNoun Variable Verb.;.* [a-z] .*\\.$;cNounVariableVerb;Person X reads.;;... :- read(X), person(X).;read(X) :- ...
10;CNoun Variable not Verb.;.* [a-z] .*\\.$;cNounVariableVerb;Person X does not read.;;... :- not read(X), person(X).; - read(X) :- ...
11;PNoun is Verb.;.* is(n't | n't | not | ).*\\.$;pNounIsVerb;Roberta is reading.;read(roberta).;... :- read(roberta).;read(roberta) :- ...
12;PNoun is not Verb.;.* is(n't | n't | not | ).*\\.$;pNounIsVerb;Roberta is not reading.; - read(roberta).;... :- not read(roberta).; - read(roberta) :- ...
13;CNoun Variable is Verb.;.* [a-z] is(n't | n't | not | ).*\\.$;cNounVariableisVerb;Person X is reading.;;... :- read(X), person(X).;read(X) :- ...
14;CNoun Variable is not Verb.;.* [a-z] is(n't | n't | not | ).*\\.$;cNounVariableisVerb;Person X is not reading.;;... :- not read(X), person(X).; - read(X) :- ...
15;PNoun is Adjective.;.* is(n't | n't | not | ).*\\.$;pNounIsAdjective;Roberta is educated.;educated(roberta).;... :- educated(roberta).;educated(roberta) :- ...
16;PNoun is not Adjective.;.* is(n't | n't | not | ).*\\.$;pNounIsAdjective;Roberta is not tall.; - tall(roberta).;... :- not tall(roberta).; - tall(roberta) :- ...
17;Variable is Adjective.;.* is(n't | n't | not | ).*\\.$;pNounIsAdjective;X is tall.;;... :- tall(X); tall(X) :- ...
18;Variable is not Adjective.;.* is(n't | n't | not | ).*\\.$;pNounIsAdjective;X is not small.;;... :- not small(X); - small(X) :- ...
19;CNoun Variable is Adjective.;.* [a-z] is(n't | n't | not | ).*\\.$;cNounVariableIsAdjective;Person X is educated.;;... :- educated(X), person(X).;educated(X) :- ...
20;CNoun Variable is not Adjective.;.* [a-z] is(n't | n't | not | ).*\\.$;cNounVariableIsAdjective;Person X is not educated.;;... :- not educated(X), person(X).; - educated(X) :- ...
